symbol1,symbol2,p_value
NEIROUSDT,PNUTUSDT,3.739921291795854e-29
DODOUSDT,RSRUSDT,5.690201177255198e-29
OGNUSDT,WINUSDT,4.542828984558711e-26
DEGOUSDT,SKLUSDT,4.878208451424709e-26
DEGOUSDT,GRTUSDT,1.4236167384790779e-25
DODOUSDT,FUNUSDT,3.1040013713815226e-25
GRTUSDT,PONDUSDT,1.603288736689294e-24
DEGOUSDT,FISUSDT,1.1679259205272159e-23
AXSUSDT,CHESSUSDT,1.3412301122933843e-23
MOVRUSDT,QIUSDT,2.0301121679332821e-22
MBOXUSDT,TLMUSDT,2.8628920791558044e-22
ALICEUSDT,MBOXUSDT,3.123659247979959e-22
ALPHAUSDT,DEGOUSDT,9.607896495690257e-22
AUDIOUSDT,QUICKUSDT,2.8103741054054077e-21
IDEXUSDT,RADUSDT,4.391332148096075e-21
DODOUSDT,UMAUSDT,4.5087041869192535e-21
PONDUSDT,TKOUSDT,5.823847924590907e-20
AMPUSDT,GTCUSDT,6.064971554806364e-20
DEGOUSDT,RSRUSDT,7.347578437861964e-20
XECUSDT,XTZUSDT,8.055922075690462e-20
GTCUSDT,MBOXUSDT,1.1425676209572732e-19
DEGOUSDT,DODOUSDT,1.3533410321890357e-19
DGBUSDT,PUNDIXUSDT,1.6065342896713923e-19
CHESSUSDT,YGGUSDT,3.262059904418208e-19
PONDUSDT,SKLUSDT,3.3015005719614185e-19
BNTUSDT,DEGOUSDT,4.053674215036428e-19
ADXUSDT,MINAUSDT,4.0641721677839714e-19
FIOUSDT,TKOUSDT,4.153731633780429e-19
ATAUSDT,KSMUSDT,4.385466890520357e-19
BANDUSDT,DEGOUSDT,6.228891601023168e-19
DODOUSDT,GRTUSDT,7.732130264480204e-19
ATAUSDT,RAREUSDT,8.438323030718774e-19
HOTUSDT,WINUSDT,9.075374880418293e-19
ADXUSDT,EGLDUSDT,9.715612649451237e-19
DODOUSDT,PUNDIXUSDT,1.34654470043075e-18
BANDUSDT,PUNDIXUSDT,1.6571859137609942e-18
ADXUSDT,DOTUSDT,1.7402195751610295e-18
BANDUSDT,DODOUSDT,2.1593229589883962e-18
SANDUSDT,VOXELUSDT,2.9030961041419308e-18
MLNUSDT,XECUSDT,3.1949353650968475e-18
DEGOUSDT,SUSHIUSDT,4.120327849229546e-18
ADXUSDT,ENJUSDT,4.1935919278164074e-18
PUNDIXUSDT,SKLUSDT,4.2150695929998216e-18
FISUSDT,SKLUSDT,6.227077339762853e-18
KMDUSDT,WANUSDT,6.295408793601439e-18
DEGOUSDT,RVNUSDT,6.327458272553266e-18
ATAUSDT,AUDIOUSDT,6.404913320545915e-18
ALPHAUSDT,DODOUSDT,6.828907976305173e-18
ALICEUSDT,RADUSDT,7.518260513710427e-18
BSWUSDT,GMTUSDT,8.171182955928944e-18
BICOUSDT,SANDUSDT,8.600139989793802e-18
ATAUSDT,C98USDT,1.0588647485704147e-17
AUDIOUSDT,MBOXUSDT,1.1064898686152582e-17
CHESSUSDT,RADUSDT,1.3171445143657663e-17
CVXUSDT,LOKAUSDT,1.3902061167953416e-17
DEGOUSDT,PONDUSDT,1.4705486938962955e-17
CHESSUSDT,DOTUSDT,1.8246236958860823e-17
SUSHIUSDT,TKOUSDT,1.8753277031790975e-17
MBOXUSDT,QIUSDT,1.8816701442008827e-17
CELRUSDT,YGGUSDT,2.338379280440314e-17
HOTUSDT,OGNUSDT,2.5408513918081572e-17
ARDRUSDT,AUDIOUSDT,3.2700825005460864e-17
ADXUSDT,RADUSDT,4.333217688566131e-17
ADXUSDT,ILVUSDT,4.4357642511765966e-17
DEGOUSDT,TKOUSDT,5.487449066018343e-17
PONDUSDT,VTHOUSDT,7.632939847933171e-17
DODOUSDT,SNXUSDT,7.774605854579438e-17
CELRUSDT,DYDXUSDT,9.830270806614068e-17
ALCXUSDT,ONEUSDT,9.87398192918583e-17
PUNDIXUSDT,SXPUSDT,1.6653718133894826e-16
FORTHUSDT,TKOUSDT,2.054417932530408e-16
ONTUSDT,PUNDIXUSDT,2.2804120817477873e-16
ALPHAUSDT,TKOUSDT,2.5458450098752287e-16
FILUSDT,OGNUSDT,3.2921357260826463e-16
CHESSUSDT,MLNUSDT,3.566508400655065e-16
COMPUSDT,FORTHUSDT,4.146632458388841e-16
PNUTUSDT,WIFUSDT,4.401300075701901e-16
RADUSDT,YGGUSDT,4.457714372365407e-16
PUNDIXUSDT,WINUSDT,5.152284849573395e-16
BANDUSDT,TKOUSDT,5.518465889653694e-16
PUNDIXUSDT,RSRUSDT,6.16923197887569e-16
FILUSDT,PONDUSDT,6.204504056807023e-16
AMPUSDT,WAXPUSDT,6.829897700479702e-16
FORTHUSDT,ONTUSDT,9.229961147640238e-16
CHESSUSDT,EGLDUSDT,1.0250792889082047e-15
SKLUSDT,TKOUSDT,1.249686722668753e-15
CHESSUSDT,RAREUSDT,1.2772059043963063e-15
ADXUSDT,YGGUSDT,1.3344434496027744e-15
FILUSDT,TKOUSDT,2.112052385839843e-15
AVAUSDT,FIOUSDT,2.1282913537043223e-15
FORTHUSDT,PUNDIXUSDT,2.21728058705925e-15
FLMUSDT,TKOUSDT,2.4456072748951864e-15
CELOUSDT,XTZUSDT,2.4484610870357023e-15
FIOUSDT,SKLUSDT,2.606640272494609e-15
PONDUSDT,WANUSDT,2.892771554302964e-15
MOVRUSDT,WAXPUSDT,3.509711848437357e-15
AUDIOUSDT,MLNUSDT,3.748648523664116e-15
BNTUSDT,SKLUSDT,3.777899939459141e-15
ACAUSDT,GLMRUSDT,3.915092713443191e-15
ENJUSDT,GTCUSDT,4.32762769234435e-15
AXSUSDT,RADUSDT,4.389933824913151e-15
ACMUSDT,JUVUSDT,4.433131957680012e-15
ENJUSDT,WAXPUSDT,4.595919759988403e-15
BANDUSDT,UMAUSDT,5.943739553617274e-15
ILVUSDT,MBOXUSDT,7.821703113055485e-15
FLOWUSDT,PSGUSDT,8.384984344380852e-15
CRVUSDT,VOXELUSDT,8.433164595375923e-15
PONDUSDT,UMAUSDT,8.643029943771404e-15
AXSUSDT,RAREUSDT,8.771035452586667e-15
ICXUSDT,MLNUSDT,9.604415770371899e-15
ATAUSDT,QTUMUSDT,9.639877398048341e-15
BAKEUSDT,ONTUSDT,1.0323370660351614e-14
LSKUSDT,TKOUSDT,1.2877277311428872e-14
DOTUSDT,RAREUSDT,1.3069721538327931e-14
BANDUSDT,PONDUSDT,1.466813029205796e-14
FIDAUSDT,QIUSDT,1.91311250044191e-14
GRTUSDT,UMAUSDT,1.9296551872367373e-14
ADXUSDT,CELRUSDT,1.9398405907132077e-14
MLNUSDT,XTZUSDT,2.1634584661114225e-14
FIOUSDT,SXPUSDT,2.1638406485352648e-14
RAREUSDT,YGGUSDT,2.2981841849069603e-14
BSWUSDT,LOKAUSDT,2.3002246140352775e-14
ARDRUSDT,MINAUSDT,2.4062072903070492e-14
ALPHAUSDT,FUNUSDT,2.441472957730921e-14
SXPUSDT,TKOUSDT,2.5375832654620648e-14
DGBUSDT,FORTHUSDT,2.941742344430145e-14
MOVRUSDT,YGGUSDT,2.956057228042014e-14
ATAUSDT,CHESSUSDT,3.04027080109974e-14
AMPUSDT,YGGUSDT,3.372802929094081e-14
ALICEUSDT,AUDIOUSDT,3.5102776244478346e-14
BICOUSDT,VOXELUSDT,3.7890140436397616e-14
DEGOUSDT,FIOUSDT,4.2122752413972826e-14
BTCUSDT,WBTCUSDT,4.9240326487122674e-14
FORTHUSDT,NEOUSDT,5.568522058147115e-14
AMPUSDT,GALAUSDT,5.764939459516043e-14
CTKUSDT,UTKUSDT,7.172495786597858e-14
SKLUSDT,WANUSDT,7.653975542122461e-14
IOSTUSDT,XECUSDT,7.995620732590973e-14
AVAUSDT,TKOUSDT,8.193499175177431e-14
DODOUSDT,PONDUSDT,8.262833939820686e-14
STRKUSDT,WLDUSDT,8.408025077203278e-14
AVAUSDT,SKLUSDT,9.071872728946514e-14
THETAUSDT,TKOUSDT,9.167774315647952e-14
GALAUSDT,VOXELUSDT,9.69461572350794e-14
ALCXUSDT,BICOUSDT,9.863191145198959e-14
ONTUSDT,WANUSDT,1.1089311303781641e-13
FIOUSDT,OGNUSDT,1.2228327964958478e-13
PERPUSDT,RAREUSDT,1.4299602081457598e-13
GTCUSDT,ILVUSDT,1.4558744821418971e-13
FLMUSDT,PUNDIXUSDT,1.6661447740692617e-13
IOTAUSDT,MINAUSDT,1.9251064311290932e-13
FIDAUSDT,RAREUSDT,2.0034716960609105e-13
DODOUSDT,FISUSDT,2.098045702889534e-13
PONDUSDT,RSRUSDT,2.1637477825380864e-13
ALGOUSDT,CHESSUSDT,2.2579268515071866e-13
QIUSDT,YGGUSDT,2.2806081702712133e-13
C98USDT,CHESSUSDT,2.4315751806352635e-13
DOTUSDT,ICXUSDT,2.4491455455041715e-13
AVAUSDT,PONDUSDT,2.4520351374670897e-13
1INCHUSDT,TKOUSDT,2.6165096103673184e-13
TKOUSDT,ZENUSDT,2.633000752803603e-13
FISUSDT,GRTUSDT,2.7448669527101403e-13
ADXUSDT,CHESSUSDT,3.1798660874368843e-13
COMPUSDT,TKOUSDT,3.285895437391542e-13
BARUSDT,CAKEUSDT,3.8333330569345445e-13
AVAUSDT,PUNDIXUSDT,3.9741060111019666e-13
FIOUSDT,PONDUSDT,3.975701270118893e-13
BNTUSDT,PONDUSDT,5.183260869781071e-13
DIAUSDT,KMDUSDT,5.534190407020309e-13
QIUSDT,RADUSDT,5.667307211218904e-13
AUDIOUSDT,C98USDT,5.950588038194685e-13
DASHUSDT,TLMUSDT,6.34620977256977e-13
FORTHUSDT,THETAUSDT,6.349324516830768e-13
FIOUSDT,WANUSDT,7.045603289439125e-13
BAKEUSDT,DGBUSDT,7.299842093416324e-13
QTUMUSDT,TKOUSDT,8.480622693272164e-13
BATUSDT,ENJUSDT,8.549090579572533e-13
EGLDUSDT,RADUSDT,8.549741943133891e-13
ARDRUSDT,MLNUSDT,8.576838916981633e-13
ALGOUSDT,CELOUSDT,8.66451857828891e-13
LRCUSDT,VOXELUSDT,8.762877658404339e-13
BAKEUSDT,COMPUSDT,9.26249987660986e-13
PONDUSDT,THETAUSDT,9.843802348217962e-13
KSMUSDT,MLNUSDT,1.0090973175219541e-12
ANKRUSDT,HOTUSDT,1.0411371717505863e-12
BNTUSDT,FIOUSDT,1.232071472806518e-12
JUVUSDT,UTKUSDT,1.2603561041228441e-12
ALPHAUSDT,BANDUSDT,1.3216426434499997e-12
1000CATUSDT,VELODROMEUSDT,1.4689451162973377e-12
ARDRUSDT,IOSTUSDT,1.5171639547812506e-12
ADXUSDT,CELOUSDT,1.7235570732299277e-12
ADXUSDT,COTIUSDT,1.8181948322814398e-12
FISUSDT,RVNUSDT,1.911386564822866e-12
BAKEUSDT,NEOUSDT,1.9438446441062373e-12
PUNDIXUSDT,WANUSDT,2.1660086565340447e-12
FISUSDT,PONDUSDT,2.293969630411692e-12
KMDUSDT,PONDUSDT,2.4063308576773985e-12
FILUSDT,KMDUSDT,2.4967198376969233e-12
ONTUSDT,TKOUSDT,2.496784702703275e-12
TLMUSDT,WINUSDT,2.670887883372582e-12
OGNUSDT,WANUSDT,3.100839755118142e-12
CVCUSDT,MINAUSDT,3.3438037716350936e-12
ARDRUSDT,CVCUSDT,3.530791405978894e-12
ATAUSDT,ZENUSDT,4.28621603921723e-12
AVAUSDT,FORTHUSDT,4.50034630003887e-12
FILUSDT,FIOUSDT,4.785206947096675e-12
ONTUSDT,SKLUSDT,4.8264775784400455e-12
BSWUSDT,KNCUSDT,5.1588047353188985e-12
CHESSUSDT,FIDAUSDT,5.1780996828856494e-12
DASHUSDT,SXPUSDT,5.217347625427243e-12
ALPHAUSDT,UMAUSDT,6.0223494084426106e-12
DCRUSDT,FIOUSDT,6.113424720306011e-12
BAKEUSDT,FILUSDT,6.168770698309426e-12
FIOUSDT,TLMUSDT,6.374869957573934e-12
CHRUSDT,IOTXUSDT,6.498021735450593e-12
AVAUSDT,WANUSDT,6.891981374297027e-12
TKOUSDT,UNIUSDT,7.52984927028106e-12
EGLDUSDT,ILVUSDT,8.162447839190871e-12
DASHUSDT,TKOUSDT,8.403161335260545e-12
THETAUSDT,VTHOUSDT,9.48431436148786e-12
FIOUSDT,THETAUSDT,9.77519197850881e-12
BELUSDT,PONDUSDT,1.0081783018274608e-11
BATUSDT,GTCUSDT,1.0205222536927714e-11
ALPHAUSDT,PONDUSDT,1.0344511961530568e-11
MOVRUSDT,RADUSDT,1.0600326193333994e-11
CELRUSDT,CHESSUSDT,1.1299989055770056e-11
CHESSUSDT,QIUSDT,1.2531717907794212e-11
BANDUSDT,FUNUSDT,1.2706744490849087e-11
ALPHAUSDT,FISUSDT,1.2948908717307363e-11
CVCUSDT,DOTUSDT,1.3748856450619082e-11
CELOUSDT,MLNUSDT,1.3762803353190037e-11
BATUSDT,WAXPUSDT,1.4010905554365502e-11
MLNUSDT,RAREUSDT,1.4563313284159726e-11
CVCUSDT,ICXUSDT,1.9037507714584385e-11
FIOUSDT,FLMUSDT,1.9730376168353252e-11
DOTUSDT,RADUSDT,2.0012441071919972e-11
FLMUSDT,TLMUSDT,2.028741390009703e-11
DIAUSDT,RSRUSDT,2.0625803417062767e-11
CVXUSDT,VOXELUSDT,2.1142885202490785e-11
C98USDT,CELOUSDT,2.3222714251320157e-11
DIAUSDT,PONDUSDT,2.5491087256847333e-11
FILUSDT,FORTHUSDT,2.6100144710202573e-11
FUNUSDT,UMAUSDT,2.91720499547659e-11
BICOUSDT,LRCUSDT,2.938270100321128e-11
RVNUSDT,UTKUSDT,3.0725593332948135e-11
DCRUSDT,TKOUSDT,3.0960552388976614e-11
BAKEUSDT,FORTHUSDT,3.2301819548226906e-11
COSUSDT,LTOUSDT,3.239095403537421e-11
AMPUSDT,HIVEUSDT,3.601938128567159e-11
CVCUSDT,IOSTUSDT,3.6416103964780655e-11
AMPUSDT,VOXELUSDT,3.710932091446728e-11
MANAUSDT,VOXELUSDT,3.866503724338693e-11
IDEXUSDT,MBOXUSDT,3.8846298379920826e-11
ATAUSDT,RADUSDT,3.907785656081951e-11
FIOUSDT,ONTUSDT,3.980529328280022e-11
ATAUSDT,MLNUSDT,4.091269354704342e-11
BNTUSDT,TKOUSDT,4.091921454715237e-11
OGNUSDT,THETAUSDT,4.403997639275574e-11
BARUSDT,COMPUSDT,4.669047955875222e-11
FILUSDT,WANUSDT,4.874814926428772e-11
ILVUSDT,WAXPUSDT,4.965544002072253e-11
MLNUSDT,ONGUSDT,5.1354612676191854e-11
DASHUSDT,JUVUSDT,5.534815359111434e-11
ALPHAUSDT,SUSHIUSDT,5.7309692036999185e-11
DIAUSDT,PUNDIXUSDT,6.028666604108613e-11
FIOUSDT,UTKUSDT,6.169902618214649e-11
FILUSDT,PUNDIXUSDT,6.504826430385707e-11
CAKEUSDT,TKOUSDT,7.050211425756775e-11
FISUSDT,RSRUSDT,7.069614118138365e-11
AXSUSDT,YGGUSDT,7.405191314558386e-11
ATAUSDT,YGGUSDT,7.436897626085243e-11
AVAUSDT,FILUSDT,7.53314937926684e-11
ACMUSDT,ASRUSDT,7.629085948280528e-11
IOSTUSDT,XTZUSDT,7.911419337839581e-11
GALAUSDT,SANDUSDT,8.487485090451031e-11
CVCUSDT,XTZUSDT,8.492204811891333e-11
IDEXUSDT,YGGUSDT,8.494171653709786e-11
AVAUSDT,ONTUSDT,8.726514042215001e-11
MLNUSDT,YGGUSDT,9.075297278570988e-11
SYSUSDT,VOXELUSDT,9.095087805512055e-11
LSKUSDT,PUNDIXUSDT,9.301006665676159e-11
SXPUSDT,UTKUSDT,9.817936144360153e-11
BARUSDT,DCRUSDT,9.964763203316449e-11
1INCHUSDT,UMAUSDT,1.0086616273993784e-10
ALICEUSDT,ILVUSDT,1.0558648347607752e-10
BIFIUSDT,LOKAUSDT,1.1117008901271875e-10
PONDUSDT,SNXUSDT,1.2803730192413602e-10
1INCHUSDT,OXTUSDT,1.337032424929322e-10
HIVEUSDT,VOXELUSDT,1.4500419003600675e-10
DCRUSDT,FLOWUSDT,1.4686259144532793e-10
FIOUSDT,LSKUSDT,1.5280061602560724e-10
AVAUSDT,KMDUSDT,1.5565785542644665e-10
CELOUSDT,DOTUSDT,1.604930324200118e-10
1INCHUSDT,ALPHAUSDT,1.641261371716699e-10
PHAUSDT,TKOUSDT,1.9285120789864663e-10
PERPUSDT,YGGUSDT,2.02520862864155e-10
TKOUSDT,VETUSDT,2.0602777847965974e-10
FIOUSDT,IOTAUSDT,2.060664374806132e-10
CAKEUSDT,DASHUSDT,2.1443062740553223e-10
MINAUSDT,RADUSDT,2.1876393092520545e-10
AMPUSDT,BATUSDT,2.4119715688017067e-10
RADUSDT,RAREUSDT,2.662626414541948e-10
DGBUSDT,NEOUSDT,2.6659072975350385e-10
METISUSDT,VANRYUSDT,2.990184152911942e-10
DGBUSDT,WANUSDT,3.1896827352441944e-10
PIXELUSDT,STRKUSDT,3.3220397647602825e-10
C98USDT,KSMUSDT,3.499035055964148e-10
CELOUSDT,CHESSUSDT,3.633656043590446e-10
SKLUSDT,SXPUSDT,3.7581730443453214e-10
SXPUSDT,TLMUSDT,4.2597242131077837e-10
MANTAUSDT,PIXELUSDT,4.2885320465489304e-10
DIAUSDT,UMAUSDT,4.310963818962933e-10
DASHUSDT,FIOUSDT,4.4398235263936937e-10
ADXUSDT,AXSUSDT,4.610172294890681e-10
FLMUSDT,FORTHUSDT,4.667132027604992e-10
LSKUSDT,WANUSDT,4.807423917020558e-10
EGLDUSDT,WAXPUSDT,4.96241566350449e-10
QTUMUSDT,ZENUSDT,5.093408019437174e-10
FUNUSDT,SNXUSDT,5.184642888652391e-10
BELUSDT,WANUSDT,5.188132182942021e-10
MLNUSDT,QTUMUSDT,5.218910324481583e-10
OXTUSDT,PONDUSDT,5.660350565645164e-10
HOTUSDT,TLMUSDT,5.905320491290447e-10
QTUMUSDT,VETUSDT,5.960299502494947e-10
FLOWUSDT,TKOUSDT,5.989907334720863e-10
FISUSDT,FUNUSDT,6.037838392288212e-10
CELOUSDT,MINAUSDT,6.089680271034952e-10
ICXUSDT,UTKUSDT,6.260261308756952e-10
ALCXUSDT,VOXELUSDT,6.358960855015359e-10
CVCUSDT,IOTAUSDT,6.919819202004185e-10
KMDUSDT,ONTUSDT,7.225119236027687e-10
MEUSDT,SCRUSDT,7.564393772444202e-10
DCRUSDT,SXPUSDT,7.629090041226526e-10
QIUSDT,WAXPUSDT,8.244029612792163e-10
ICXUSDT,IOSTUSDT,8.255199551396126e-10
FUNUSDT,PONDUSDT,8.74185938058084e-10
AUDIOUSDT,MINAUSDT,8.843176567186779e-10
1INCHUSDT,UTKUSDT,8.880640004667162e-10
MANAUSDT,SCRTUSDT,9.170629052025285e-10
AVAUSDT,SXPUSDT,9.381788399010845e-10
C98USDT,RADUSDT,9.448485533874e-10
CELRUSDT,RADUSDT,9.510319276876773e-10
BICOUSDT,GALAUSDT,9.566730280519378e-10
MINAUSDT,XTZUSDT,9.580828652502094e-10
FIOUSDT,KSMUSDT,9.945332780718614e-10
ACEUSDT,RDNTUSDT,1.0098053296292257e-09
ARDRUSDT,C98USDT,1.1062795993402169e-09
IDEXUSDT,MINAUSDT,1.1085909433679162e-09
LRCUSDT,MOVRUSDT,1.1113096710589053e-09
ONTUSDT,SXPUSDT,1.1134523165171973e-09
BANDUSDT,FISUSDT,1.1265881079014872e-09
DASHUSDT,UTKUSDT,1.1454755417168734e-09
KSMUSDT,ZENUSDT,1.1513884778156176e-09
ACAUSDT,SCRTUSDT,1.193206587040581e-09
SKLUSDT,THETAUSDT,1.2528420607489246e-09
CAKEUSDT,VETUSDT,1.2827673461626211e-09
ONTUSDT,PONDUSDT,1.4151179859108487e-09
DENTUSDT,HOTUSDT,1.4228066546688586e-09
MLNUSDT,RADUSDT,1.440574547790984e-09
FIOUSDT,OXTUSDT,1.4631106519573886e-09
MINAUSDT,MLNUSDT,1.6395410113951903e-09
KSMUSDT,MINAUSDT,1.7389599301491066e-09
OXTUSDT,UTKUSDT,1.8187459880585315e-09
DOTUSDT,MINAUSDT,1.8890561539478263e-09
BELUSDT,RSRUSDT,1.9567965421068638e-09
GRTUSDT,ZRXUSDT,2.031686648251568e-09
ICXUSDT,MINAUSDT,2.2107733180755355e-09
FIOUSDT,PUNDIXUSDT,2.233155254255297e-09
LRCUSDT,QIUSDT,2.253585227155972e-09
TRUUSDT,XECUSDT,2.380313134128312e-09
RDNTUSDT,XAIUSDT,2.3910645691286935e-09
MANTAUSDT,STRKUSDT,2.394356624938092e-09
MINAUSDT,YGGUSDT,2.503016305411442e-09
UTKUSDT,ZILUSDT,2.514407624236334e-09
OXTUSDT,SKLUSDT,2.5169390899589707e-09
SCUSDT,VTHOUSDT,2.5424399131872187e-09
ALICEUSDT,YGGUSDT,2.5572976590791153e-09
KAVAUSDT,QUICKUSDT,2.6563072561877633e-09
AVAUSDT,DGBUSDT,2.8477316978789904e-09
MLNUSDT,PERPUSDT,2.890129223094342e-09
BLURUSDT,TIAUSDT,2.905560054439406e-09
ACEUSDT,MAGICUSDT,3.0939753473464644e-09
IOTAUSDT,UTKUSDT,3.4554294089554967e-09
ALGOUSDT,RADUSDT,3.527213997000881e-09
OXTUSDT,UMAUSDT,3.7550675549276576e-09
C98USDT,RAREUSDT,3.928413128054613e-09
PONDUSDT,SUSHIUSDT,3.932010193438396e-09
PERPUSDT,QUICKUSDT,4.169444309685829e-09
AUDIOUSDT,YGGUSDT,4.2163221160960484e-09
CTSIUSDT,YGGUSDT,4.356189416087459e-09
TKOUSDT,YFIUSDT,4.807389019419713e-09
AMPUSDT,BICOUSDT,4.853357831439765e-09
FILUSDT,THETAUSDT,5.0177184001860456e-09
CRVUSDT,CVXUSDT,5.149177304385679e-09
PONDUSDT,ZRXUSDT,5.176806045140583e-09
SKLUSDT,ZILUSDT,5.207956014448039e-09
CAKEUSDT,FORTHUSDT,5.370970532737964e-09
ONGUSDT,XECUSDT,5.380203676586528e-09
GALAUSDT,HIVEUSDT,5.41329284202895e-09
CAKEUSDT,FLOWUSDT,5.422668763144245e-09
PONDUSDT,PUNDIXUSDT,5.6606632317399975e-09
MINAUSDT,ONGUSDT,5.911576313959652e-09
DIAUSDT,WANUSDT,6.011795059246725e-09
IOTAUSDT,KSMUSDT,6.193216487070415e-09
LSKUSDT,SXPUSDT,6.291983164858413e-09
ATAUSDT,XECUSDT,6.840011268305353e-09
DGBUSDT,ONTUSDT,7.140194008179756e-09
FLMUSDT,OGNUSDT,7.141805143645211e-09
AUDIOUSDT,IDEXUSDT,7.215608422119644e-09
AVAUSDT,THETAUSDT,7.317599372654469e-09
ALGOUSDT,XTZUSDT,7.3696281193267215e-09
C98USDT,XTZUSDT,7.55717655990636e-09
ACAUSDT,KDAUSDT,8.081902305066396e-09
IOSTUSDT,MLNUSDT,8.406428885403485e-09
ATMUSDT,FLOWUSDT,8.532247778358026e-09
FUNUSDT,SUSHIUSDT,8.545487027304892e-09
DYDXUSDT,MLNUSDT,8.565232530394057e-09
ACMUSDT,SUSHIUSDT,8.677264250149122e-09
CAKEUSDT,NEOUSDT,8.696043085289853e-09
MLNUSDT,ZENUSDT,8.791646991755347e-09
ARDRUSDT,IOTAUSDT,9.158209377146486e-09
ICXUSDT,KSMUSDT,9.205781579446275e-09
ILVUSDT,QIUSDT,9.731409078385199e-09
