symbol1,symbol2,p_value,correlation
ALICEUSDT,AMPUSDT,3.50177075307313e-29,0.9730946660468225
AMPUSDT,TLMUSDT,1.8970754235007162e-26,0.9621738562012101
DEGOUSDT,SKLUSDT,4.8782078009916695e-26,0.9545578408449948
ADXUSDT,OXTUSDT,1.0094055729883727e-25,0.967589229628349
DEGOUSDT,GRTUSDT,1.4236167245847473e-25,0.9563112710964649
GRTUSDT,PONDUSDT,1.6032905774620995e-24,0.97837460176338
BICOUSDT,CHESSUSDT,3.2700094414430273e-24,0.9731752639623242
DEGOUSDT,FISUSDT,1.1679255523050844e-23,0.965352251621282
AXSUSDT,CHESSUSDT,1.3412307414221518e-23,0.971498656046055
CELOUSDT,VOXELUSDT,2.5612807759292535e-23,0.9680287292415598
GTCUSDT,VOXELUSDT,1.1315388228621962e-22,0.9685517729263223
ALICEUSDT,VOXELUSDT,1.9879097454694339e-22,0.9832530111560384
MOVRUSDT,QIUSDT,2.0301069136826925e-22,0.9817006311950818
MBOXUSDT,TLMUSDT,2.862885903819845e-22,0.9725615734545645
ALICEUSDT,MBOXUSDT,3.1236657012945004e-22,0.9764215624150641
TLMUSDT,VOXELUSDT,6.3255661771738115e-22,0.9861527767137749
ALPHAUSDT,DEGOUSDT,9.607914317338656e-22,0.9500951768116197
AUDIOUSDT,QUICKUSDT,2.8103858569590434e-21,0.9561591890189423
1INCHUSDT,CHESSUSDT,2.931063520316979e-21,0.971921181624141
IDEXUSDT,RADUSDT,4.391327960664809e-21,0.9686690716036145
DODOUSDT,UMAUSDT,4.508718664118598e-21,0.9547621517362666
RAREUSDT,WINUSDT,4.0212013478814924e-20,0.9617887072137007
AMPUSDT,GTCUSDT,6.064966766739415e-20,0.9527636794391671
C98USDT,VOXELUSDT,6.40983484144303e-20,0.9692050679355912
DEGOUSDT,RSRUSDT,7.347580385303365e-20,0.9550885365320456
1INCHUSDT,RAREUSDT,7.647769322986686e-20,0.96382167603048
BICOUSDT,MOVRUSDT,9.115161255023472e-20,0.9776951974113604
DEGOUSDT,DODOUSDT,1.3533420817903494e-19,0.9605360167071116
CHESSUSDT,VOXELUSDT,1.4624741146017298e-19,0.9804613113045797
FIOUSDT,MBOXUSDT,1.4713900332416804e-19,0.9527386927669802
GLMRUSDT,SPELLUSDT,1.912224174807292e-19,0.975746654021951
MBOXUSDT,VOXELUSDT,3.045578006800896e-19,0.9832132276213764
CHESSUSDT,YGGUSDT,3.2620556925496935e-19,0.9544970903365674
PONDUSDT,SKLUSDT,3.3015025802515455e-19,0.9722449746480515
CHESSUSDT,KSMUSDT,3.7250458708509844e-19,0.9702971909394886
ADXUSDT,MINAUSDT,4.0641739720011363e-19,0.9677472443749706
FIOUSDT,TKOUSDT,4.153730206974353e-19,0.9539863465134496
ATAUSDT,KSMUSDT,4.385462168337261e-19,0.9562840485993288
CHESSUSDT,WINUSDT,7.32223097448424e-19,0.9536126044847401
ADXUSDT,ANKRUSDT,7.436494593380479e-19,0.962218867037031
DODOUSDT,GRTUSDT,7.732094841638027e-19,0.9744593744142889
ATAUSDT,RAREUSDT,8.438342998561349e-19,0.9694426238736651
HOTUSDT,WINUSDT,9.07534506561755e-19,0.9564888159182082
CHESSUSDT,FILUSDT,9.137058799962201e-19,0.9800262209984566
KSMUSDT,VOXELUSDT,9.891457883863491e-19,0.9802457023719662
ADXUSDT,WANUSDT,1.0758512681949852e-18,0.9758599969771935
ADXUSDT,ONTUSDT,1.3439686929796529e-18,0.9773634916115146
DODOUSDT,PUNDIXUSDT,1.3465511526157442e-18,0.978498853160156
BANDUSDT,PUNDIXUSDT,1.6571851042681317e-18,0.9663846907341346
ADXUSDT,DOTUSDT,1.7402173561326673e-18,0.9736340978135197
CHESSUSDT,PERPUSDT,1.8210839799144597e-18,0.9748789936674851
BANDUSDT,DODOUSDT,2.1593293581750177e-18,0.96233055301203
ENJUSDT,VOXELUSDT,2.8616855884987067e-18,0.9717771676867508
SANDUSDT,VOXELUSDT,2.903109342052398e-18,0.9708629771006434
MLNUSDT,XECUSDT,3.194942977259744e-18,0.9565339636267245
ADXUSDT,ENJUSDT,4.193588344873075e-18,0.950811690086159
PUNDIXUSDT,SKLUSDT,4.215055174923963e-18,0.9578145667615736
KMDUSDT,WANUSDT,6.295414579489823e-18,0.9700830602034201
ALICEUSDT,RADUSDT,7.518259825807546e-18,0.9563967645874533
BSWUSDT,GMTUSDT,8.171172451668007e-18,0.9568015978204781
ADXUSDT,FIOUSDT,8.23863684178853e-18,0.9603817922128847
ATAUSDT,C98USDT,1.0588621239358003e-17,0.9781703412152668
AXSUSDT,VOXELUSDT,1.227045593625669e-17,0.9787347917731737
CHESSUSDT,RADUSDT,1.3171435461086317e-17,0.9599459097981093
CVXUSDT,LOKAUSDT,1.3902061697343572e-17,0.9581869185935782
DEGOUSDT,PONDUSDT,1.4705456812297084e-17,0.9520567806212603
GLMRUSDT,ONEUSDT,1.5184008739127078e-17,0.9622102375448818
CHESSUSDT,DOTUSDT,1.8246219445492525e-17,0.9650603077415569
SUSHIUSDT,TKOUSDT,1.8753283231351513e-17,0.9667728837448861
MBOXUSDT,QIUSDT,1.881666610974668e-17,0.9516593897290557
RADUSDT,WINUSDT,1.9177680586528883e-17,0.9590191805130716
CHESSUSDT,FIOUSDT,2.4082729690315343e-17,0.9514854015797385
HOTUSDT,OGNUSDT,2.540848825115668e-17,0.9558462945205076
AUDIOUSDT,LOKAUSDT,4.165365253197448e-17,0.9634280611300293
ALPHAUSDT,CHESSUSDT,4.671850107052957e-17,0.9749891634632882
ACAUSDT,VOXELUSDT,4.8711858644286974e-17,0.9817492547385114
BICOUSDT,RADUSDT,4.9492886317594116e-17,0.9650256950381787
VOXELUSDT,WAXPUSDT,6.4753358058489e-17,0.9726616435569886
ADXUSDT,NKNUSDT,7.47235266075192e-17,0.955152503131582
DODOUSDT,SNXUSDT,7.77458497477222e-17,0.953379337968417
CHESSUSDT,DODOUSDT,9.211504778013131e-17,0.9729312083930804
CELRUSDT,DYDXUSDT,9.830282644067728e-17,0.9672661801209451
ALCXUSDT,ONEUSDT,9.873974547818841e-17,0.9656051927523015
KDAUSDT,KSMUSDT,1.1560627219077801e-16,0.974944166213625
AUDIOUSDT,VOXELUSDT,1.2599929451167615e-16,0.9649786452874
ICXUSDT,VOXELUSDT,1.9673541530808714e-16,0.9628759199297927
FILUSDT,RAREUSDT,2.1615050380176005e-16,0.984759508718214
ONTUSDT,PUNDIXUSDT,2.2804307744778415e-16,0.9577711175885901
ALPHAUSDT,TKOUSDT,2.545842273425276e-16,0.9659731333976408
FILUSDT,OGNUSDT,3.2921419417841592e-16,0.9587332515291688
ADXUSDT,QTUMUSDT,3.3416636418662847e-16,0.9667065889498201
CHESSUSDT,MLNUSDT,3.566517042816793e-16,0.9741595831516143
BICOUSDT,DODOUSDT,3.872926096836923e-16,0.9653598184670775
COMPUSDT,FORTHUSDT,4.1466227902941162e-16,0.9715246161743402
DASHUSDT,QUICKUSDT,4.3973084570363414e-16,0.9734778863370649
PNUTUSDT,WIFUSDT,4.401291842520223e-16,0.9660941083617615
RADUSDT,YGGUSDT,4.457717334000447e-16,0.9704502202796833
FILUSDT,VOXELUSDT,5.089554702744181e-16,0.9793456882301432
PUNDIXUSDT,WINUSDT,5.152291298866437e-16,0.9671758810968154
PUNDIXUSDT,RSRUSDT,6.16920304538348e-16,0.9548493564619586
FILUSDT,PONDUSDT,6.204486700255932e-16,0.957999590397214
CVXUSDT,MBOXUSDT,6.233520919191497e-16,0.9765810177075176
ATAUSDT,WANUSDT,6.678695961088525e-16,0.9539933385657287
AMPUSDT,WAXPUSDT,6.829862897555382e-16,0.9727227069238545
FORTHUSDT,ONTUSDT,9.229976525468913e-16,0.9535442727260196
ADXUSDT,DENTUSDT,9.83326318592637e-16,0.97229943772703
AUDIOUSDT,CHESSUSDT,1.1087856862759166e-15,0.9595194587477185
SKLUSDT,TKOUSDT,1.2496860863462975e-15,0.954798365447821
CHESSUSDT,RAREUSDT,1.2772033455449732e-15,0.9757822735799838
ADXUSDT,YGGUSDT,1.334441209576918e-15,0.9612233550237342
CHESSUSDT,SUSHIUSDT,1.412508742515905e-15,0.9672936900371527
ONEUSDT,VOXELUSDT,1.7972826233405445e-15,0.9519895056790576
CHESSUSDT,ICXUSDT,1.8668025412827255e-15,0.963740897718095
BICOUSDT,PERPUSDT,2.0099520629214835e-15,0.9575471069606702
AVAUSDT,FIOUSDT,2.128290681679147e-15,0.9667793138902794
FORTHUSDT,PUNDIXUSDT,2.2172792956374408e-15,0.9643564137631792
FLMUSDT,TKOUSDT,2.4456046064923735e-15,0.9655406990512907
CELOUSDT,XTZUSDT,2.448463881937218e-15,0.9707561882072595
FIOUSDT,SKLUSDT,2.6066388442196043e-15,0.9553344414479116
ADXUSDT,HOTUSDT,2.658586492061541e-15,0.9633033513149297
PONDUSDT,WANUSDT,2.8927708934185797e-15,0.9683080988423748
ALPHAUSDT,VOXELUSDT,3.1095498668290374e-15,0.9744649036936217
BICOUSDT,KSMUSDT,3.17691942366508e-15,0.9569349139094707
ACAUSDT,FLOWUSDT,3.664218224922746e-15,0.9753314861596742
AUDIOUSDT,MLNUSDT,3.7486478819433055e-15,0.9549854713401769
BNTUSDT,SKLUSDT,3.777896158592967e-15,0.9594133111061313
ACAUSDT,GLMRUSDT,3.915073413227905e-15,0.9729287453197172
NKNUSDT,RADUSDT,4.202789255614053e-15,0.9555489950629998
PERPUSDT,VOXELUSDT,4.3003052808373915e-15,0.9626194945918913
MLNUSDT,VOXELUSDT,4.329039337946668e-15,0.9698709709553808
AXSUSDT,RADUSDT,4.389928323076001e-15,0.9735048245689445
ACMUSDT,JUVUSDT,4.433134799807638e-15,0.9577439017853929
ENJUSDT,WAXPUSDT,4.595930608995473e-15,0.9836568884205527
BANDUSDT,UMAUSDT,5.9437258115702245e-15,0.9703682164733473
BATUSDT,VOXELUSDT,6.710365073926921e-15,0.9666076961727712
ILVUSDT,MBOXUSDT,7.821734953022852e-15,0.9635946432915725
FLOWUSDT,PSGUSDT,8.384993068326077e-15,0.9644736775472388
CRVUSDT,VOXELUSDT,8.433167584792243e-15,0.9545287502303031
ADXUSDT,KSMUSDT,8.458905192745546e-15,0.9625298596605266
PONDUSDT,UMAUSDT,8.64302297348743e-15,0.965609012844406
AXSUSDT,RAREUSDT,8.770992304406293e-15,0.970103813029492
